Names,Games,Minutes,Points,OffRebounds,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fg%,3pm,3pa,3p%,Ftm,Ft%
Kareem Abdul-Jabbar*,21,,696,,452,,,,295,432,179,.683,,,,106,.592
Alvan Adams,21,,464,,277,,,,195,356,110,.548,,,,74,.673
Mark Aguirre,32,1206,767,,244,86,40,9,302,581,213,.520,,,,163,.765
Danny Ainge,30,1140,632,,173,158,60,6,243,473,169,.514,,,,146,.864
Dwight Anderson,29,807,387,,86,63,20,3,128,252,182,.508,,,,131,.720
J.J. Anderson,26,993,545,,144,54,44,20,232,503,113,.461,,,,81,.717
Richard Anderson,20,208,86,,59,,9,9,36,84,16,.429,,,,7,.438
Tiny Archibald*,23,,364,,81,,,,131,281,140,.466,,,,102,.729
John Bagley,29,,343,,91,65,43,1,130,270,115,.481,,,,83,.722
James Bailey,33,790,282,,233,19,41,98,121,240,68,.504,,,,40,.588
Greg Ballard,26,761,244,,230,52,,,71,152,138,.467,,,,102,.739
Gene Banks,34,1135,581,,292,120,46,,238,451,146,.528,,,,105,.719
Billy Ray Bates,26,341,202,,100,,,,91,194,34,.469,,,,20,.588
Dave Batton,28,472,186,,112,29,,,80,153,42,.523,,,,26,.619
Kent Benson,27,691,250,,222,25,,,113,224,40,.504,,,,24,.600
Larry Bird*,28,1033,918,,373,124,77,28,375,689,200,.544,,,,168,.840
Otis Birdsong,26,673,372,,110,52,,,154,312,92,.494,,,,64,.696
Rolando Blackman,29,,315,,187,45,,,127,269,93,.472,,,,61,.656
Charles Bradley,23,541,316,,143,35,,,121,258,99,.469,,,,74,.747
Dudley Bradley,27,,46,,33,12,13,1,19,65,16,.292,,,,8,.500
Brad Branson,26,852,447,,266,16,21,26,189,442,61,.428,,,,47,.770
Mike Bratz,26,,128,,31,44,,,58,122,22,.475,,,,12,.545
Ron Brewer,28,,334,,105,,,,130,226,99,.575,,,,74,.747
Junior Bridgeman,16,,349,,202,,,,144,260,97,.554,,,,61,.629
Allan Bristow,13,,355,,222,,,,138,261,124,.529,,,,79,.637
Jim Brogan,24,,243,,54,,,,105,235,41,.447,,,,33,.805
Michael Brooks,29,,579,,311,54,,,241,490,152,.492,,,,97,.638
Fred Brown,24,,429,,91,,,,180,360,86,.500,,,,69,.802
Rickey Brown,27,824,520,,292,13,,,225,443,97,.508,,,,70,.722
Joe Bryant,26,,486,,282,30,,,200,440,123,.455,,,,86,.699
Quinn Buckner,28,713,301,,134,82,,,130,318,69,.409,,,,41,.594
Don Buse,26,,419,,171,,,,169,334,112,.506,,,,81,.723
Marty Byrnes,19,,18,,26,0,,,6,15,12,.400,,,,6,.500
Kenny Carr,28,,386,,201,,,,158,301,101,.525,,,,70,.693
M.L. Carr,36,,582,,383,,,,249,411,144,.606,,,,84,.583
Joe Barry Carroll,28,573,220,,206,11,17,82,93,187,54,.497,,,,34,.630
Butch Carter,23,391,68,,50,32,,,27,69,23,.391,,,,14,.609
Bill Cartwright,30,845,374,,207,18,,49,151,285,98,.530,,,,72,.735
Harvey Catchings,26,,404,,285,,,,158,305,138,.518,,,,88,.638
Tom Chambers,28,355,178,,104,7,,,69,139,64,.496,,,,40,.625
Maurice Cheeks*,26,,101,,56,29,,,35,75,53,.467,,,,31,.585
Don Collins,27,437,163,,77,27,21,7,71,138,35,.514,,,,21,.600
Lester Conner,28,790,197,,119,111,52,9,68,141,91,.482,,,,61,.670
Darwin Cook,26,790,342,,71,128,,,146,303,78,.482,,,,50,.641
Jeff Cook,20,,44,,51,7,,,19,45,12,.422,,,,6,.500
Joe Cooper,32,771,253,,202,,,,110,220,61,.500,,,,33,.541
Michael Cooper,30,957,454,,150,101,,,171,333,140,.514,,,,112,.800
Wayne Cooper,17,,35,,52,,,,16,33,4,.485,,,,3,.750
Dave Corzine,25,,304,,216,63,,,134,309,56,.434,,,,36,.643
Dave Cowens*,18,,259,,357,,,,105,208,90,.505,,,,49,.544
Chubby Cox,26,,306,,154,,,,129,351,89,.368,,,,48,.539
Charlie Criss,11,,84,,13,7,,,32,78,27,.410,,,,20,.741
Geoff Crompton,2,,0,,1,0,,,0,1,0,.000,,,,0,
Pat Cummings,18,458,251,,131,14,15,,111,190,39,.584,,,,29,.744
Terry Cummings,28,861,397,,263,40,24,34,154,303,107,.508,,,,89,.832
Earl Cureton,28,,405,,227,,,,,,,,,,,,
Quintin Dailey,29,899,393,,107,100,26,1,154,292,134,.527,,,,85,.634
Adrian Dantley*,28,795,511,,255,40,,,189,339,161,.558,,,,133,.826
Brad Davis,29,,364,,95,134,,,141,243,100,.580,,,,82,.820
Charles Davis,26,825,399,,181,25,,,164,368,94,.446,,,,71,.755
Johnny Davis,29,,415,,106,,,,173,407,105,.425,,,,69,.657
Mike Davis,27,,141,,172,14,13,27,50,115,64,.435,,,,41,.641
Walter Davis,27,,387,,126,72,,,161,322,82,.500,,,,65,.793
Darryl Dawkins,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Kenny Dennard,34,988,331,,215,72,53,,140,254,76,.551,,,,51,.671
Coby Dietrick,18,,288,,,,,,113,,,,,,,62,
James Donaldson,9,36,10,,17,0,,,4,7,3,.571,,,,2,.667
John Douglas,28,1018,537,,172,48,43,8,223,457,138,.488,,,,91,.659
Leon Douglas,30,,377,,321,21,,,160,331,110,.483,,,,57,.518
John Drew,23,,562,,195,,,,239,469,123,.510,,,,84,.683
Larry Drew,28,,194,,77,78,,,75,175,59,.429,,,,44,.746
Terry Duerod,25,356,210,,42,,,,99,234,18,.423,,,,12,.667
Mike Dunleavy,29,803,303,,60,73,,2,122,236,72,.517,,,,59,.819
T.R. Dunn,25,839,236,,199,52,,,99,232,58,.427,,,,38,.655
John Duren,26,,250,,78,80,,,105,219,54,.479,,,,41,.759
Mark Eaton,19,155,39,,49,3,3,21,17,37,17,.459,,,,5,.294
Jerry Eaves,32,472,155,,33,49,24,0,47,96,87,.490,,,,61,.701
Keith Edmonson,34,267,45,,25,16,6,1,19,49,13,.388,,,,7,.538
Franklin Edwards,25,,467,,68,81,35,4,190,416,122,.457,,,,87,.713
James Edwards,25,,170,,115,,,,68,160,62,.425,,,,34,.548
Len Elmore,5,,55,,47,,,,22,39,16,.564,,,,11,.688
Chris Engler,8,,8,,10,0,1,,4,10,1,.400,,,,0,.000
Alex English*,29,1037,422,,306,25,,54,189,368,70,.514,,,,44,.629
Julius Erving*,15,,273,,214,,,,112,216,81,.519,,,,49,.605
Mike Evans,29,,492,,103,,,,213,446,81,.478,,,,66,.815
Bruce Flowers,29,672,228,,166,49,,,100,166,45,.602,,,,28,.622
Sleepy Floyd,29,975,480,,119,78,55,9,177,388,155,.456,,,,126,.813
Phil Ford,31,,508,,85,161,,,191,370,161,.516,,,,126,.783
World B. Free,33,,697,,191,,,,272,572,217,.476,,,,153,.705
Bill Garnett,27,818,251,,183,45,,,86,162,116,.531,,,,79,.681
Calvin Garrett,24,,143,,66,21,,,55,140,46,.393,,,,33,.717
George Gervin*,9,,158,,104,,,,65,123,39,.528,,,,28,.718
Artis Gilmore*,31,,713,,,,,,296,,,,,,,121,
Mike Glenn,25,,382,,49,86,,8,182,339,25,.537,,,,18,.720
Mike Gminski,27,,414,,289,20,,,175,340,91,.515,,,,64,.703
Glen Gondrezick,23,,69,,48,10,,,28,54,18,.519,,,,13,.722
Rickey Green,32,,638,,117,132,,,266,542,135,.491,,,,106,.785
Dave Greenwood,31,403,152,,114,17,,,62,122,35,.508,,,,28,.800
John Greig,27,445,142,,100,25,20,3,55,123,43,.447,,,,32,.744
Kevin Grevey,21,,466,,192,,,,174,363,149,.479,,,,118,.792
Paul Griffin,25,,218,,220,26,,,91,177,76,.514,,,,36,.474
Darrell Griffith,28,652,359,,109,50,,,150,299,93,.502,,,,59,.634
Bob Gross,19,,385,,,,,,157,,101,,,,,71,.703
Ernie Grunfeld,26,,453,,188,61,,,180,363,128,.496,,,,93,.727
Bill Hanzlik,28,274,115,,51,13,,,38,91,55,.418,,,,39,.709
Joe Hassett,32,555,230,,50,50,,,108,223,16,.484,,,,14,.875
Scott Hastings,30,753,248,,138,38,10,11,97,191,74,.508,,,,54,.730
Steve Hawes,21,,550,,297,,,,219,354,174,.619,,,,112,.644
Elvin Hayes*,21,,527,,500,,,,217,478,176,.454,,,,93,.528
Steve Hayes,27,,264,,183,7,,,107,210,76,.510,,,,50,.658
Spencer Haywood*,24,,771,,530,,,,288,508,254,.567,,,,195,.768
Gerald Henderson,25,,167,,64,,,,73,182,39,.401,,,,21,.538
Tom Henderson,26,964,515,,106,,,,205,445,129,.461,,,,105,.814
Rod Higgins,22,,207,,127,38,12,14,79,153,66,.516,,,,49,.742
Johnny High,27,974,469,,143,118,,,187,411,146,.455,,,,95,.651
Armond Hill,17,,234,,71,,,,97,,55,,,,,40,.727
Craig Hodges,28,801,282,,56,94,24,3,122,234,49,.521,,,,38,.776
Lionel Hollins,27,840,467,,102,84,,,194,401,120,.484,,,,79,.658
Phil Hubbard,32,,482,,352,36,,,208,381,113,.546,,,,66,.584
Geoff Huston,31,557,218,,42,,,,91,194,54,.469,,,,36,.667
Marc Iavaroni,25,846,271,,198,19,,,105,213,83,.493,,,,61,.735
Dan Issel*,20,,416,,355,,,,168,332,111,.506,,,,80,.721
Tracy Jackson,28,378,158,,91,33,,,66,120,40,.550,,,,26,.650
Clay Johnson,29,,381,,230,23,,,142,247,141,.575,,,,97,.688
Clemon Johnson,25,,249,,302,,,,113,233,45,.485,,,,23,.511
Dennis Johnson*,27,930,425,,156,66,,,181,378,112,.479,,,,63,.563
Eddie Johnson,26,,567,,105,75,57,,231,538,130,.429,,,,105,.808
Eddie Johnson,27,469,220,,84,16,11,8,100,234,27,.427,,,,20,.741
Frank Johnson,30,1044,348,,84,74,46,3,150,328,69,.457,,,,48,.696
George Johnson,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
George Johnson,31,,313,,290,34,,,139,263,54,.529,,,,35,.648
Magic Johnson*,30,,511,,237,222,,,175,382,205,.458,,,,161,.785
Marques Johnson,27,,194,,90,24,,,83,131,38,.634,,,,28,.737
Mickey Johnson,22,,595,,419,,,,252,438,148,.575,,,,91,.615
Reggie Johnson,28,,308,,227,17,,,131,203,61,.645,,,,46,.754
Steve Johnson,28,616,379,,156,9,,,159,267,91,.596,,,,61,.670
Vinnie Johnson,25,,575,,140,149,,,241,481,141,.501,,,,93,.660
Jim Johnstone,27,700,220,,144,16,7,11,96,169,49,.568,,,,28,.571
Bobby Jones*,16,,358,,236,,,,136,237,113,.574,,,,86,.761
Caldwell Jones,25,,450,,440,,,,185,367,108,.504,,,,80,.741
Dwight Jones,15,,326,,304,,,,127,261,97,.487,,,,72,.742
Edgar Jones,26,,457,,261,8,,,181,348,135,.520,,,,95,.704
Hutch Jones,21,420,150,,145,,,,60,135,47,.444,,,,30,.638
Major Jones,29,,565,,456,,,,252,488,100,.516,,,,61,.610
Eddie Jordan,26,,288,,82,,,,124,278,56,.446,,,,40,.714
Jeff Judkins,24,349,101,,93,27,,,35,80,37,.438,,,,31,.838
Rich Kelley,17,,308,,284,,,,112,241,120,.465,,,,84,.700
Clark Kellogg,29,938,335,,232,76,35,18,136,313,79,.435,,,,63,.797
Greg Kelser,27,,316,,260,32,,,136,263,78,.517,,,,44,.564
Larry Kenon,30,1097,603,,501,,,,273,520,100,.525,,,,57,.570
Albert King,28,781,381,,187,64,21,11,164,327,82,.502,,,,53,.646
Bernard King*,25,,661,,308,39,,,273,439,147,.622,,,,115,.782
Reggie King,28,901,306,,265,41,17,18,122,250,113,.488,,,,62,.549
Billy Knight,24,,505,,276,56,,,205,381,131,.538,,,,95,.725
Joe Kopicki,26,395,97,,95,15,12,5,37,102,39,.363,,,,23,.590
Joel Kramer,14,,29,,24,4,,,10,19,13,.526,,,,9,.692
Sam Lacey,20,,379,,405,,,,160,386,88,.415,,,,59,.670
Bill Laimbeer,10,190,82,,79,10,,,32,65,23,.492,,,,18,.783
Jeff Lamp,28,930,485,,124,56,18,2,156,382,205,.408,,,,173,.844
Mark Landsberger,26,,398,,200,,,,165,358,98,.461,,,,68,.694
Bob Lanier*,15,,450,,,,,,,,,,,,,,
Allen Leavell,24,,75,,21,,,,30,84,23,.357,,,,15,.652
Ronnie Lester,27,,363,,66,98,,,140,312,119,.449,,,,83,.697
Fat Lever,29,377,104,,44,51,29,3,38,92,38,.413,,,,28,.737
Cliff Levingston,29,914,457,,294,44,,32,189,346,127,.546,,,,79,.622
Steve Lingenfelter,14,,24,,31,3,,,8,23,12,.348,,,,8,.667
Alton Lister,29,584,255,,194,25,13,44,104,209,84,.498,,,,47,.560
Lewis Lloyd,27,1022,815,,406,76,,,324,585,236,.554,,,,167,.708
Scott Lloyd,14,437,274,,136,,,,100,204,95,.490,,,,74,.779
Kevin Loder,27,545,263,,143,,,,112,187,49,.599,,,,39,.796
John Long,26,654,445,,168,26,,,200,419,58,.477,,,,45,.776
John Lucas,30,,425,,83,178,,,190,353,64,.538,,,,45,.703
Maurice Lucas,17,,487,,286,,,,203,345,112,.588,,,,81,.723
