Names,PER,Age,Href,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fg%,3pm,3pa,3p%,Ftm,Ft%
Johnny Davis,14.3,27,/players/d/davisjo01.html,31,753,218,128,35,34,18,86,195,44,.441,14,36,.389,32,.727
Mike Dunleavy,14.0,28,/players/d/dunlemi01.html,30,724,273,128,50,33,14,97,211,61,.460,34,97,.351,45,.738
Gerald Henderson,13.4,27,/players/h/hendege01.html,32,618,219,92,35,16,10,87,193,59,.451,8,25,.320,37,.627
Russ Schoene,11.1,22,/players/s/schoeru01.html,28,457,202,113,8,8,12,80,154,57,.519,0,0,0,42,.737
Jeff Taylor,8.1,23,/players/t/tayloje01.html,31,805,377,192,53,29,12,136,271,139,.502,9,41,.220,96,.691
Alaa Abdelnaby,13.0,24,/players/a/abdelal01.html,29,192,106,50,6,1,3,47,81,23,.580,0,0,0,12,.522
Mahmoud Abdul-Rauf,15.4,23,/players/a/abdulma02.html,32,1180,965,108,130,55,6,359,739,200,.486,84,216,.389,163,.815
Victor Alexander,13.7,23,/players/a/alexavi01.html,23,120,39,32,4,2,5,18,30,6,.600,0,0,0,3,.500
Eric Anderson,13.1,22,/players/a/anderer01.html,34,964,404,208,10,14,33,145,266,157,.545,0,0,0,114,.726
Kenny Anderson,16.4,22,/players/a/anderke01.html,35,1321,721,193,285,79,3,283,549,146,.515,48,117,.410,107,.733
Nick Anderson,15.8,25,/players/a/anderni01.html,33,909,525,217,53,37,28,223,390,120,.572,2,6,.333,77,.642
Ron Anderson,14.3,34,/players/a/anderro01.html,35,1303,572,204,78,54,22,234,426,128,.549,0,1,.000,104,.813
Greg Anthony,14.5,25,/players/a/anthogr01.html,28,923,429,121,112,54,8,147,369,144,.398,35,95,.368,100,.694
Keith Askins,9.2,25,/players/a/askinke01.html,32,432,94,95,8,21,8,33,80,29,.413,2,7,.286,16,.552
Stacey Augmon,13.7,24,/players/a/augmost01.html,34,884,311,206,64,69,24,117,204,116,.574,2,2,1.000,75,.647
Isaac Austin,13.0,23,/players/a/austiis01.html,31,848,425,192,27,20,24,164,300,150,.547,0,1,.000,97,.647
Anthony Avent,8.8,23,/players/a/aventan01.html,38,395,168,114,12,6,27,68,149,49,.456,0,0,0,32,.653
Steve Bardo,8.1,24,/players/b/bardost01.html,31,630,119,92,85,23,15,42,102,50,.412,1,3,.333,34,.680
Jon Barry,14.7,23,/players/b/barryjo01.html,29,809,275,74,108,39,3,100,269,71,.372,22,59,.373,53,.746
Tony Bennett,9.5,23,/players/b/benneto01.html,27,930,516,54,138,49,1,179,343,131,.522,47,107,.439,111,.847
David Benoit,12.0,24,/players/b/benoida01.html,31,913,335,248,20,15,18,136,268,84,.507,1,3,.333,62,.738
Alex Blackwell,8.2,22,/players/b/blackal01.html,29,1072,571,227,30,24,28,217,365,179,.595,0,0,0,137,.765
Walter Bond,9.2,23,/players/b/bondwa01.html,26,223,62,36,25,3,2,29,55,8,.527,0,2,.000,4,.500
Anthony Bonner,11.5,24,/players/b/bonnean01.html,35,1066,360,337,46,32,12,138,233,127,.592,0,0,0,84,.661
