PER,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fgp,Tpm,Tpa,Tpp,Ftm,Ftp
14.3,31,753.0,218,128,35.0,34.0,18.0,86,195,44,0.441,14,36,0.389,32,0.727
14.0,30,724.0,273,128,50.0,33.0,14.0,97,211,61,0.46,34,97,0.351,45,0.738
13.4,32,618.0,219,92,35.0,16.0,10.0,87,193,59,0.451,8,25,0.32,37,0.627
11.1,28,457.0,202,113,8.0,8.0,12.0,80,154,57,0.519,0,0,0.0,42,0.737
8.1,31,805.0,377,192,53.0,29.0,12.0,136,271,139,0.502,9,41,0.22,96,0.691
13.0,29,192.0,106,50,6.0,1.0,3.0,47,81,23,0.58,0,0,0.0,12,0.522
15.4,32,1180.0,965,108,130.0,55.0,6.0,359,739,200,0.486,84,216,0.389,163,0.815
13.7,23,120.0,39,32,4.0,2.0,5.0,18,30,6,0.6,0,0,0.0,3,0.5
13.1,34,964.0,404,208,10.0,14.0,33.0,145,266,157,0.545,0,0,0.0,114,0.726
16.4,35,1321.0,721,193,285.0,79.0,3.0,283,549,146,0.515,48,117,0.41,107,0.733
15.8,33,909.0,525,217,53.0,37.0,28.0,223,390,120,0.572,2,6,0.333,77,0.642
14.3,35,1303.0,572,204,78.0,54.0,22.0,234,426,128,0.549,0,1,0.0,104,0.813
14.5,28,923.0,429,121,112.0,54.0,8.0,147,369,144,0.398,35,95,0.368,100,0.694
9.2,32,432.0,94,95,8.0,21.0,8.0,33,80,29,0.413,2,7,0.286,16,0.552
13.7,34,884.0,311,206,64.0,69.0,24.0,117,204,116,0.574,2,2,1.0,75,0.647
13.0,31,848.0,425,192,27.0,20.0,24.0,164,300,150,0.547,0,1,0.0,97,0.647
8.8,38,395.0,168,114,12.0,6.0,27.0,68,149,49,0.456,0,0,0.0,32,0.653
8.1,31,630.0,119,92,85.0,23.0,15.0,42,102,50,0.412,1,3,0.333,34,0.68
14.7,29,809.0,275,74,108.0,39.0,3.0,100,269,71,0.372,22,59,0.373,53,0.746
9.5,27,930.0,516,54,138.0,49.0,1.0,179,343,131,0.522,47,107,0.439,111,0.847
12.0,31,913.0,335,248,20.0,15.0,18.0,136,268,84,0.507,1,3,0.333,62,0.738
8.2,29,1072.0,571,227,30.0,24.0,28.0,217,365,179,0.595,0,0,0.0,137,0.765
9.2,26,223.0,62,36,25.0,3.0,2.0,29,55,8,0.527,0,2,0.0,4,0.5
11.5,35,1066.0,360,337,46.0,32.0,12.0,138,233,127,0.592,0,0,0.0,84,0.661
19.7,29,1067.0,518,106,174.0,51.0,4.0,190,401,129,0.474,41,94,0.436,97,0.752
8.3,27,998.0,453,170,42.0,18.0,6.0,179,317,109,0.565,12,34,0.353,83,0.761
14.6,21,186.0,71,28,17.0,11.0,0.0,28,65,22,0.431,2,12,0.167,13,0.591
10.3,28,578.0,105,75,81.0,32.0,2.0,42,83,36,0.506,0,2,0.0,21,0.583
11.2,30,474.0,134,68,35.0,10.0,3.0,54,111,28,0.486,10,25,0.4,16,0.571
12.7,28,674.0,243,118,30.0,12.0,19.0,96,211,74,0.455,3,11,0.273,48,0.649
12.1,32,599.0,389,125,29.0,23.0,9.0,136,292,119,0.466,26,81,0.321,91,0.765
15.9,31,534.0,273,126,20.0,11.0,62.0,107,193,84,0.554,0,0,0.0,59,0.702
14.1,28,911.0,551,278,19.0,23.0,24.0,216,387,171,0.558,0,0,0.0,119,0.696
11.7,33,399.0,67,85,3.0,10.0,31.0,27,55,30,0.491,0,0,0.0,13,0.433
19.3,29,986.0,615,256,43.0,46.0,8.0,241,545,174,0.442,16,58,0.276,117,0.672
13.9,29,962.0,464,66,103.0,36.0,15.0,173,390,68,0.444,68,176,0.386,50,0.735
11.9,34,573.0,168,110,43.0,10.0,10.0,66,117,51,0.564,0,1,0.0,36,0.706
14.6,28,687.0,250,115,112.0,44.0,34.0,84,167,98,0.503,12,47,0.255,70,0.714
18.0,38,1163.0,453,333,45.0,45.0,67.0,173,309,156,0.56,0,0,0.0,107,0.686
12.1,28,752.0,280,85,112.0,34.0,5.0,101,245,109,0.412,0,14,0.0,78,0.716
13.2,34,487.0,150,100,16.0,11.0,7.0,43,96,77,0.448,0,0,0.0,64,0.831
7.7,27,180.0,31,16,17.0,6.0,0.0,10,32,15,0.313,1,9,0.111,10,0.667
11.7,32,788.0,202,44,235.0,61.0,1.0,61,120,72,0.508,20,40,0.5,60,0.833
9.7,28,449.0,122,73,10.0,6.0,13.0,49,112,29,0.438,0,0,0.0,24,0.828
12.7,31,717.0,195,70,92.0,18.0,1.0,59,163,87,0.362,26,75,0.347,51,0.586
18.9,35,815.0,287,181,33.0,10.0,36.0,110,197,101,0.558,0,1,0.0,67,0.663
15.2,29,714.0,227,223,10.0,16.0,38.0,91,171,89,0.532,0,0,0.0,45,0.506
11.8,35,248.0,116,27,9.0,3.0,1.0,44,86,31,0.512,4,13,0.308,24,0.774
14.7,28,1002.0,506,115,134.0,26.0,10.0,207,414,107,0.5,19,54,0.352,73,0.682
14.1,32,741.0,425,129,49.0,48.0,27.0,148,328,137,0.451,31,90,0.344,98,0.715
16.5,29,813.0,363,173,22.0,17.0,36.0,156,260,76,0.6,0,0,0.0,51,0.671
11.9,30,669.0,288,181,12.0,8.0,9.0,112,212,95,0.528,0,0,0.0,64,0.674
15.9,30,937.0,521,193,49.0,49.0,31.0,203,372,154,0.546,0,2,0.0,115,0.747
12.8,28,876.0,404,158,52.0,37.0,13.0,169,301,88,0.561,1,4,0.25,65,0.739
12.7,31,1060.0,447,156,98.0,65.0,8.0,184,343,78,0.536,16,36,0.444,63,0.808
14.6,27,819.0,365,254,31.0,22.0,53.0,156,277,76,0.563,1,1,1.0,52,0.684
6.4,28,376.0,105,31,33.0,19.0,7.0,43,102,29,0.422,2,11,0.182,17,0.586
8.9,31,441.0,101,76,25.0,5.0,24.0,44,88,26,0.5,0,0,0.0,13,0.5
13.6,34,371.0,136,63,32.0,26.0,5.0,59,94,30,0.628,3,9,0.333,15,0.5
17.6,27,839.0,604,244,24.0,37.0,61.0,239,388,179,0.616,0,0,0.0,126,0.704
15.2,30,597.0,193,124,24.0,11.0,9.0,80,156,50,0.513,0,0,0.0,33,0.66
10.7,26,962.0,261,93,156.0,35.0,9.0,91,247,89,0.368,10,29,0.345,69,0.775
14.7,31,345.0,114,42,27.0,39.0,8.0,40,83,53,0.482,0,1,0.0,34,0.642
11.6,31,998.0,481,57,133.0,32.0,3.0,144,356,187,0.404,48,122,0.393,145,0.775
15.9,21,171.0,56,35,5.0,10.0,1.0,18,42,29,0.429,1,2,0.5,19,0.655
11.5,31,950.0,233,63,114.0,50.0,2.0,75,190,69,0.395,26,64,0.406,57,0.826
9.5,12,228.0,117,38,13.0,3.0,0.0,48,96,14,0.5,10,20,0.5,11,0.786
14.0,31,881.0,274,261,7.0,14.0,15.0,95,172,125,0.552,0,0,0.0,84,0.672
10.5,31,1118.0,467,253,22.0,26.0,23.0,164,303,195,0.541,0,0,0.0,139,0.713
13.4,31,590.0,200,156,35.0,22.0,37.0,79,185,59,0.427,4,13,0.308,38,0.644
10.2,30,842.0,391,251,32.0,23.0,65.0,140,240,149,0.583,0,0,0.0,111,0.745
13.8,33,697.0,247,162,42.0,25.0,15.0,93,198,82,0.47,0,0,0.0,61,0.744
12.9,27,292.0,64,32,30.0,6.0,0.0,13,46,41,0.283,3,12,0.25,35,0.854
13.5,30,1035.0,482,166,110.0,39.0,14.0,194,389,93,0.499,21,59,0.356,73,0.785
15.5,29,1060.0,375,119,183.0,75.0,0.0,116,237,132,0.489,34,89,0.382,109,0.826
7.5,37,541.0,156,74,37.0,17.0,4.0,59,129,68,0.457,3,20,0.15,35,0.515
16.3,40,1259.0,822,457,84.0,65.0,56.0,304,487,262,0.624,13,38,0.342,201,0.767
6.9,23,572.0,318,134,13.0,10.0,41.0,126,215,103,0.586,0,1,0.0,66,0.641
12.9,33,653.0,277,179,22.0,18.0,11.0,93,147,132,0.633,0,0,0.0,91,0.689
9.6,28,421.0,140,95,8.0,12.0,3.0,55,89,42,0.618,0,0,0.0,30,0.714
10.2,29,420.0,136,84,22.0,6.0,20.0,56,108,34,0.519,0,0,0.0,24,0.706
16.9,36,607.0,319,170,44.0,35.0,28.0,115,159,121,0.723,1,1,1.0,88,0.727
12.2,36,748.0,303,141,42.0,38.0,10.0,120,252,73,0.476,6,12,0.5,57,0.781
15.7,31,799.0,313,113,68.0,28.0,20.0,121,290,51,0.417,40,119,0.336,31,0.608
16.1,28,812.0,299,112,82.0,27.0,2.0,108,232,91,0.466,14,30,0.467,69,0.758
15.1,33,865.0,295,165,62.0,14.0,62.0,116,227,84,0.511,5,12,0.417,58,0.69
15.6,27,915.0,397,289,30.0,31.0,44.0,152,279,156,0.545,1,3,0.333,92,0.59
14.2,27,948.0,419,127,67.0,38.0,5.0,154,357,98,0.431,33,118,0.28,78,0.796
13.3,36,540.0,199,150,31.0,29.0,27.0,78,157,77,0.497,0,1,0.0,43,0.558
14.2,26,617.0,190,92,66.0,33.0,13.0,75,170,53,0.441,7,27,0.259,33,0.623
18.6,34,735.0,429,155,47.0,38.0,7.0,158,310,101,0.51,33,82,0.402,80,0.792
12.6,36,886.0,275,230,40.0,51.0,53.0,96,178,108,0.539,4,24,0.167,79,0.731
18.8,26,922.0,465,165,143.0,42.0,4.0,145,351,151,0.413,45,127,0.354,130,0.861
19.5,34,807.0,443,213,37.0,37.0,23.0,164,267,155,0.614,0,0,0.0,115,0.742
20.5,21,494.0,281,154,10.0,32.0,27.0,100,169,134,0.592,0,0,0.0,81,0.604
15.0,29,950.0,445,221,89.0,63.0,9.0,151,347,171,0.435,14,46,0.304,129,0.754
17.8,29,634.0,296,185,36.0,18.0,105.0,117,237,104,0.494,0,4,0.0,62,0.596
18.6,31,555.0,232,119,40.0,20.0,18.0,91,185,45,0.492,19,55,0.345,31,0.689
15.1,17,577.0,283,47,76.0,19.0,16.0,105,255,51,0.412,33,101,0.327,40,0.784
11.5,28,676.0,243,58,85.0,32.0,12.0,78,170,110,0.459,8,28,0.286,79,0.718
24.2,33,997.0,323,317,30.0,12.0,124.0,120,220,110,0.545,1,1,1.0,82,0.745
11.7,35,1220.0,529,416,55.0,31.0,21.0,155,326,346,0.475,1,1,1.0,218,0.63
11.7,27,749.0,194,89,92.0,39.0,3.0,57,138,92,0.413,9,31,0.29,71,0.772
16.3,33,686.0,351,248,36.0,24.0,25.0,143,317,91,0.451,5,16,0.313,60,0.659
16.5,32,980.0,509,138,88.0,40.0,11.0,174,451,116,0.386,70,186,0.376,91,0.784
14.6,38,308.0,110,91,6.0,12.0,33.0,35,66,63,0.53,0,0,0.0,40,0.635
19.0,36,887.0,402,183,79.0,51.0,30.0,160,310,133,0.516,1,2,0.5,81,0.609
14.6,34,956.0,377,212,62.0,15.0,21.0,150,333,112,0.45,0,2,0.0,77,0.688
14.0,27,381.0,135,36,27.0,22.0,0.0,55,123,35,0.447,1,13,0.077,24,0.686
18.1,32,1052.0,484,309,33.0,25.0,33.0,201,322,156,0.624,0,1,0.0,82,0.526
14.4,28,755.0,317,134,80.0,18.0,11.0,104,210,125,0.495,12,33,0.364,97,0.776
9.6,34,1108.0,469,234,82.0,31.0,42.0,164,371,208,0.442,12,49,0.245,129,0.62
15.4,23,732.0,368,132,50.0,45.0,12.0,140,302,79,0.464,28,76,0.368,60,0.759
17.9,29,922.0,378,142,222.0,110.0,8.0,133,287,134,0.463,24,84,0.286,88,0.657
17.9,39,691.0,414,151,59.0,29.0,15.0,137,261,155,0.525,29,84,0.345,111,0.716
18.8,29,954.0,543,269,36.0,73.0,54.0,221,418,111,0.529,20,67,0.299,81,0.73
15.0,22,233.0,62,74,10.0,14.0,24.0,26,40,32,0.65,0,0,0.0,10,0.313
10.9,31,660.0,237,69,39.0,30.0,7.0,80,186,77,0.43,14,49,0.286,63,0.818
17.4,34,872.0,292,126,157.0,38.0,21.0,104,195,113,0.533,6,19,0.316,78,0.69
14.3,28,677.0,341,146,58.0,35.0,7.0,115,233,114,0.494,31,87,0.356,80,0.702
15.4,27,890.0,519,267,38.0,34.0,38.0,183,340,201,0.538,4,13,0.308,149,0.741
20.0,31,743.0,252,78,67.0,26.0,4.0,78,184,57,0.424,49,120,0.408,47,0.825
16.5,32,1116.0,564,302,122.0,27.0,49.0,203,421,182,0.482,33,100,0.33,125,0.687
11.8,31,742.0,380,64,72.0,47.0,1.0,132,294,49,0.449,73,175,0.417,43,0.878
19.7,34,862.0,404,180,61.0,44.0,27.0,143,341,137,0.419,35,115,0.304,83,0.606
13.7,37,747.0,214,142,45.0,25.0,21.0,82,198,32,0.414,29,101,0.287,21,0.656
12.0,28,713.0,188,163,41.0,16.0,84.0,79,141,52,0.56,0,0,0.0,30,0.577
19.3,33,654.0,356,221,34.0,24.0,22.0,138,235,126,0.587,0,1,0.0,80,0.635
16.3,37,582.0,189,153,23.0,20.0,6.0,79,157,42,0.503,8,27,0.296,23,0.548
12.9,31,1040.0,586,327,32.0,24.0,8.0,203,425,183,0.478,44,127,0.346,136,0.743
12.1,29,705.0,161,141,57.0,28.0,23.0,61,127,40,0.48,10,41,0.244,29,0.725
11.1,27,586.0,195,103,32.0,12.0,17.0,63,178,76,0.354,17,72,0.236,52,0.684
12.9,31,949.0,347,190,82.0,53.0,3.0,112,300,116,0.373,31,112,0.277,92,0.793
12.0,18,501.0,236,147,9.0,15.0,69.0,98,164,95,0.598,0,0,0.0,40,0.421
13.7,31,703.0,193,211,6.0,19.0,16.0,66,117,102,0.564,0,1,0.0,61,0.598
6.5,27,401.0,162,68,36.0,17.0,7.0,60,161,29,0.373,22,73,0.301,20,0.69
15.4,30,988.0,582,321,25.0,42.0,93.0,206,395,229,0.522,2,5,0.4,168,0.734
12.2,25,144.0,27,15,24.0,6.0,0.0,12,25,15,0.48,0,2,0.0,3,0.2
16.5,35,734.0,428,176,69.0,42.0,17.0,138,296,205,0.466,2,20,0.1,150,0.732
10.2,30,696.0,111,152,9.0,13.0,59.0,40,85,65,0.471,0,0,0.0,31,0.477
15.4,30,540.0,217,65,76.0,22.0,3.0,76,167,48,0.455,28,69,0.406,37,0.771
12.7,31,534.0,243,63,66.0,47.0,4.0,84,185,59,0.454,32,88,0.364,43,0.729
14.5,31,679.0,154,161,6.0,19.0,32.0,68,137,49,0.496,0,3,0.0,18,0.367
14.3,31,872.0,380,107,76.0,41.0,5.0,124,269,150,0.461,39,98,0.398,94,0.627
16.1,16,319.0,121,69,5.0,15.0,35.0,45,110,50,0.409,1,8,0.125,30,0.6
16.0,22,382.0,176,72,23.0,6.0,11.0,66,127,28,0.52,22,47,0.468,22,0.786
13.1,31,830.0,384,158,36.0,14.0,34.0,161,342,98,0.471,3,7,0.429,59,0.602
16.2,31,303.0,95,23,35.0,19.0,0.0,32,59,27,0.542,15,26,0.577,16,0.593
14.5,25,408.0,143,105,3.0,9.0,48.0,55,103,71,0.534,0,0,0.0,33,0.465
13.9,33,981.0,484,256,53.0,21.0,50.0,170,294,203,0.578,0,3,0.0,144,0.709
14.0,32,1005.0,542,193,66.0,56.0,33.0,187,416,152,0.45,47,140,0.336,121,0.796
13.6,37,1212.0,407,189,244.0,98.0,37.0,145,384,151,0.378,15,62,0.242,102,0.675
14.5,22,438.0,198,130,12.0,19.0,15.0,82,148,62,0.554,0,0,0.0,34,0.548
15.9,27,892.0,514,250,42.0,12.0,26.0,194,298,181,0.651,0,1,0.0,126,0.696
9.5,28,459.0,149,98,21.0,28.0,14.0,52,129,63,0.403,5,25,0.2,40,0.635
16.8,25,740.0,457,208,21.0,19.0,41.0,161,312,129,0.516,35,79,0.443,100,0.775
10.1,35,896.0,273,89,181.0,38.0,1.0,91,195,94,0.467,28,70,0.4,63,0.67
10.8,33,678.0,132,181,20.0,23.0,46.0,48,99,57,0.485,0,0,0.0,36,0.632
9.9,36,1146.0,762,89,128.0,43.0,20.0,265,647,230,0.41,66,208,0.317,166,0.722
16.0,33,479.0,259,148,47.0,28.0,8.0,95,227,73,0.419,17,55,0.309,52,0.712
12.7,29,841.0,396,210,37.0,17.0,78.0,153,279,164,0.548,2,6,0.333,88,0.537
