Names,PER
Kareem Abdul-Jabbar*,24.6
Alvan Adams,18.3
Mark Aguirre,19.0
Danny Ainge,14.7
Dwight Anderson,10.6
J.J. Anderson,12.1
Richard Anderson,12.3
Tiny Archibald*,18.0
John Bagley,13.0
James Bailey,13.0
Greg Ballard,15.7
Gene Banks,15.1
Billy Ray Bates,18.1
Dave Batton,10.2
Kent Benson,14.2
Larry Bird*,23.5
Otis Birdsong,16.5
Rolando Blackman,16.7
Charles Bradley,8.4
Dudley Bradley,12.0
Brad Branson,14.4
Mike Bratz,12.0
Ron Brewer,13.0
Junior Bridgeman,15.6
Allan Bristow,14.6
Jim Brogan,13.1
Michael Brooks,15.2
Fred Brown,17.7
Rickey Brown,9.8
Joe Bryant,12.2
Quinn Buckner,13.4
Don Buse,13.1
Marty Byrnes,10.8
Kenny Carr,14.7
M.L. Carr,14.0
Joe Barry Carroll,16.4
Butch Carter,12.7
Bill Cartwright,15.2
Harvey Catchings,9.6
Tom Chambers,16.5
Maurice Cheeks*,16.5
Don Collins,14.5
Lester Conner,14.1
Darwin Cook,13.8
Jeff Cook,10.9
Joe Cooper,10.5
Michael Cooper,12.8
Wayne Cooper,13.4
Dave Corzine,13.6
Dave Cowens*,17.0
Chubby Cox,1.6
Charlie Criss,12.8
Geoff Crompton,5.6
Pat Cummings,13.3
Terry Cummings,18.3
Earl Cureton,10.4
Quintin Dailey,15.1
Adrian Dantley*,21.5
Brad Davis,14.7
Charles Davis,11.6
Johnny Davis,14.3
Mike Davis,21.1
Walter Davis,19.1
Darryl Dawkins,15.8
Kenny Dennard,9.3
Coby Dietrick,12.6
James Donaldson,13.8
John Douglas,12.0
Leon Douglas,11.9
John Drew,20.7
Larry Drew,14.0
Terry Duerod,12.1
Mike Dunleavy,14.0
T.R. Dunn,10.4
John Duren,6.9
Mark Eaton,10.9
Jerry Eaves,11.8
Keith Edmonson,12.6
Franklin Edwards,12.6
James Edwards,14.7
Len Elmore,11.5
Chris Engler,7.2
Alex English*,19.9
Julius Erving*,23.6
Mike Evans,12.0
Bruce Flowers,15.2
Sleepy Floyd,15.5
Phil Ford,13.9
World B. Free,18.8
Bill Garnett,12.3
Calvin Garrett,8.9
George Gervin*,21.4
Artis Gilmore*,21.4
Mike Glenn,15.1
Mike Gminski,16.3
Glen Gondrezick,13.7
Rickey Green,15.3
Dave Greenwood,13.6
John Greig,19.9
Kevin Grevey,12.9
Paul Griffin,11.9
Darrell Griffith,14.6
Bob Gross,14.7
Ernie Grunfeld,12.7
Bill Hanzlik,11.2
Joe Hassett,12.9
Scott Hastings,9.2
Steve Hawes,14.3
Elvin Hayes*,17.7
Steve Hayes,8.4
Spencer Haywood*,19.1
Gerald Henderson,13.4
Tom Henderson,12.8
Rod Higgins,13.5
Johnny High,9.4
Armond Hill,10.2
Craig Hodges,11.8
Lionel Hollins,13.0
Phil Hubbard,13.9
Geoff Huston,12.7
Marc Iavaroni,7.9
Dan Issel*,21.4
Tracy Jackson,11.8
Clay Johnson,9.1
Clemon Johnson,12.7
Dennis Johnson*,14.6
Eddie Johnson,CRASH
Eddie Johnson,15.9
Frank Johnson,12.7
George Johnson,12.4
George Johnson,14.0
Magic Johnson*,24.1
Marques Johnson,20.1
Mickey Johnson,16.9
Reggie Johnson,12.5
Steve Johnson,15.3
Vinnie Johnson,15.2
Jim Johnstone,4.5
Bobby Jones*,18.2
Caldwell Jones,12.1
Dwight Jones,13.2
Edgar Jones,15.1
Hutch Jones,9.2
Major Jones,11.3
Eddie Jordan,13.1
Jeff Judkins,12.9
Rich Kelley,15.0
Clark Kellogg,19.3
Greg Kelser,14.2
Larry Kenon,17.0
Albert King,13.1
Bernard King*,19.2
Reggie King,13.1
Billy Knight,18.2
Joe Kopicki,14.2
Joel Kramer,10.8
Sam Lacey,14.2
Bill Laimbeer,16.1
Jeff Lamp,11.5
Mark Landsberger,12.8
Bob Lanier*,21.7
Allen Leavell,14.7
Ronnie Lester,13.0
Fat Lever,17.8
Cliff Levingston,13.8
Steve Lingenfelter,3.1
Alton Lister,12.9
Lewis Lloyd,16.4
Scott Lloyd,8.5
Kevin Loder,11.9
John Long,14.2
John Lucas,15.9
Maurice Lucas,16.2
Rudy Macklin,10.0
Kyle Macy,14.0
Dave Magley,3.9
Rick Mahorn,11.6
Moses Malone*,22.0
Wes Matthews,13.0
Cedric Maxwell,16.4
Scott May,14.2
Bob McAdoo*,20.7
Hank McDowell,10.0
Mike McGee,14.0
Kevin McHale*,20.0
Billy McKinney,13.7
Tom McMillen,12.2
Mark McNamara,10.8
Joe Meriweather,12.7
Mike Mitchell,16.7
Steve Mix,16.2
Paul Mokeski,8.9
Sidney Moncrief*,18.7
Johnny Moore,16.7
Lowes Moore,10.7
Guy Morgan,9.9
Calvin Murphy*,18.0
Larry Nance,19.9
Swen Nater,17.6
Calvin Natt,17.9
Kenny Natt,7.3
Ed Nealy,10.5
Chuck Nevitt,9.1
Carl Nicks,10.5
Kurt Nimphius,11.8
Norm Nixon,15.3
Audie Norris,9.1
Mike O'Koren,12.1
Mark Olberding,12.6
Jawann Oldham,10.7
Louis Orr,13.4
Tom Owens,16.7
Robert Parish*,19.2
Billy Paultz,16.3
Jim Paxson,16.1
Sam Pellom,10.9
Roger Phegley,13.6
Eddie Phillips,7.5
Ricky Pierce,17.7
Charles Pittman,10.1
Ben Poquette,12.6
Kevin Porter,15.6
Paul Pressey,15.5
Mark Radford,11.3
Ed Rains,8.2
Kurt Rambis,13.1
Kelvin Ransey,14.8
James Ray,10.0
Clint Richardson,11.1
Micheal Ray Richardson,16.9
Rick Robey,12.8
Cliff Robinson,17.0
Oliver Robinson,14.1
Truck Robinson,14.9
Dave Robisch,16.6
Tree Rollins,13.6
Lorenzo Romar,13.0
Dan Roundfield,17.9
Jeff Ruland,18.7
Walker Russell,7.5
Mike Sanders,11.9
Danny Schayes,13.4
Russ Schoene,11.1
Alvin Scott,11.3
Lonnie Shelton,14.2
Ed Sherod,11.4
Purvis Short,16.9
Jerry Sichting,11.7
Jack Sikma*,17.3
Jose Slaughter,10.5
Derek Smith,15.1
Jim Smith,9.3
Larry Smith,12.6
Phil Smith,15.8
Randy Smith,16.5
Robert Smith,11.0
Ricky Sobers,13.9
Jim Spanarkel,16.0
Rory Sparrow,12.0
Larry Spriggs,11.3
Brook Steppe,12.5
Jeff Taylor,8.1
Vince Taylor,7.6
Terry Teagle,13.7
Carlos Terry,10.4
Reggie Theus,16.6
David Thirdkill,8.0
Isiah Thomas*,18.1
Corny Thompson,6.0
David Thompson*,19.9
LaSalle Thompson,13.6
Mychal Thompson,15.7
Darren Tillis,10.0
Ray Tolbert,9.8
Andrew Toney,16.1
Linton Townes,11.5
Kelly Tripucka,16.2
Trent Tucker,12.9
Elston Turner,9.6
Terry Tyler,14.6
Darnell Valentine,14.0
Jan van Breda Kolff,10.4
Kiki Vandeweghe,18.4
Pete Verhoeven,10.3
Jay Vincent,15.9
Danny Vranes,9.3
Foots Walker,13.7
Wally Walker,11.4
Bill Walton*,20.0
Bryan Warrick,9.0
Marvin Webster,13.8
Scott Wedman,14.2
Paul Westphal*,19.4
Rory White,12.4
Jerome Whitehead,12.0
Bob Wilkerson,11.1
Jamaal Wilkes*,16.5
James Wilkes,11.2
Dominique Wilkins*,21.6
Jeff Wilkins,10.5
Buck Williams,15.3
Freeman Williams,17.9
Gus Williams,18.5
Herb Williams,13.6
Ray Williams,17.3
Rickey Williams,9.6
Rob Williams,12.2
Sam Williams,13.7
Sly Williams,16.0
Bill Willoughby,11.8
Brian Winters,15.2
Al Wood,13.9
Mike Woodson,15.0
Orlando Woolridge,16.6
James Worthy*,17.7
Jim Zoet,-0.8
Alaa Abdelnaby,13.0
Mahmoud Abdul-Rauf,15.4
Mark Acres,9.0
Michael Adams,16.6
Rafael Addison,10.5
Mark Aguirre,19.0
Danny Ainge,14.7
Victor Alexander,13.7
Eric Anderson,13.1
Kenny Anderson,16.4
Nick Anderson,15.8
Ron Anderson,14.3
Willie Anderson,13.8
Greg Anthony,14.5
B.J. Armstrong,14.5
Vincent Askew,12.6
Keith Askins,9.2
Stacey Augmon,13.7
Isaac Austin,13.0
Anthony Avent,8.8
John Bagley,13.0
Thurl Bailey,14.3
Steve Bardo,8.1
Charles Barkley*,24.6
Dana Barros,16.4
Jon Barry,14.7
John Battle,13.7
Kenny Battle,12.5
William Bedford,9.7
Benoit Benjamin,14.8
Tony Bennett,9.5
David Benoit,12.0
Rolando Blackman,16.7
Alex Blackwell,8.2
Lance Blanks,8.8
Ricky Blanton,19.3
Mookie Blaylock,16.8
Muggsy Bogues,15.0
Manute Bol,9.4
Walter Bond,9.2
Anthony Bonner,11.5
Anthony Bowie,11.7
Sam Bowie,14.6
Terrell Brandon,19.7
Randy Breuer,13.2
Frank Brickowski,14.2
Kevin Brooks,8.3
Scott Brooks,14.5
Chucky Brown,11.6
Dee Brown,14.6
Mike Brown,9.7
Randy Brown,10.3
Mark Bryant,10.9
Jud Buechler,11.2
Matt Bullard,11.9
Willie Burton,12.7
Steve Burtt,10.4
Michael Cage,13.9
Dexter Cambridge,12.1
Elden Campbell,15.9
Tony Campbell,14.5
Antoine Carr,14.2
Bill Cartwright,15.2
Terry Catledge,14.1
Duane Causwell,11.7
Cedric Ceballos,19.3
Tom Chambers,16.5
Rex Chapman,13.9
Maurice Cheeks*,16.5
Pete Chilcutt,11.9
Doug Christie,14.6
Derrick Coleman,18.0
Bimbo Coles,12.1
Marty Conlon,13.2
Lester Conner,14.1
Duane Cooper,7.7
Tyrone Corbin,13.1
Chris Corchiani,11.7
Joe Courtney,9.7
John Crotty,12.7
Terry Cummings,18.3
Radisav Ćurčić,13.5
Dell Curry,16.0
Lloyd Daniels,11.5
Brad Daugherty,18.9
Dale Davis,15.2
Hubert Davis,11.8
Terry Davis,10.9
Johnny Dawkins,14.7
Todd Day,14.1
Vinny Del Negro,13.5
Bison Dele,16.5
Vlade Divac*,17.7
James Donaldson,13.8
Sherman Douglas,15.1
Greg Dreiling,7.4
Clyde Drexler*,21.1
Kevin Duckworth,11.9
Chris Dudley,10.7
Joe Dumars*,15.3
Richard Dumas,15.9
Pat Durham,11.4
Mark Eaton,10.9
Blue Edwards,12.8
James Edwards,14.7
Kevin Edwards,12.7
Craig Ehlo,13.4
Mario Elie,13.1
Sean Elliott,13.9
Dale Ellis,16.0
LaPhonso Ellis,14.6
Pervis Ellison,15.2
Jo Jo English,6.4
Patrick Ewing*,21.0
Duane Ferrell,12.9
Danny Ferry,11.8
Vern Fleming,15.1
Sleepy Floyd,15.5
Greg Foster,8.9
Rick Fox,13.6
Kevin Gamble,14.2
Winston Garland,12.5
Chris Gatling,17.6
Kenny Gattison,13.0
Matt Geiger,15.2
Tate George,10.7
Kendall Gill,14.7
Armen Gilliam,16.4
Gerald Glass,13.3
Mike Gminski,16.3
Paul Graham,13.7
Gary Grant,13.4
Greg Grant,9.9
