Names,PER
Luke Walton,11.7
Hakim Warrick,15.5
C.J. Watson,13.1
Earl Watson,12.1
Maalik Wayns,5.7
Martell Webster,11.7
David West,18.6
Russell Westbrook,22.2
D.J. White,14.5
James White,9.9
Chris Wilcox,15.5
Damien Wilkins,11.5
Deron Williams,18.2
Derrick Williams,13.4
Lou Williams,18.0
Marvin Williams,13.6
Mo Williams,15.0
Reggie Williams,14.3
Terrence Williams,11.5
Metta World Peace,14.8
Brandan Wright,20.3
Chris Wright,-1.9
Dorell Wright,14.4
Tony Wroten,12.6
Nick Young,12.9
Sam Young,11.5
Thaddeus Young,16.4
Luke Zeller,5.6
Tyler Zeller,14.9
Precious Achiuwa,13.8
Steven Adams,17.1
Bam Adebayo,20.0
Ochai Agbaji,9.5
Santi Aldama,13.3
Nickeil Alexander-Walker,11.0
Grayson Allen,12.2
Jarrett Allen,20.0
Jose Alvarado,13.6
Kyle Anderson,14.3
Giannis Antetokounmpo,24.9
Thanasis Antetokounmpo,10.8
Cole Anthony,13.9
OG Anunoby,13.2
Ryan Arcidiacono,9.9
Deni Avdija,10.5
Deandre Ayton,20.5
Udoka Azubuike,16.0
Marvin Bagley III,17.1
Patrick Baldwin Jr.,11.3
LaMelo Ball,18.6
Mo Bamba,16.7
Paolo Banchero,14.9
Desmond Bane,16.6
Dalano Banton,11.4
Dominick Barlow,12.4
Harrison Barnes,13.8
Scottie Barnes,15.9
RJ Barrett,12.8
Will Barton,13.9
Charles Bassey,19.5
Keita Bates-Diop,12.9
Nicolas Batum,14.4
Darius Bazley,11.1
Bradley Beal,18.4
Malik Beasley,12.4
MarJon Beauchamp,8.2
Dāvis Bertāns,12.9
Patrick Beverley,12.3
Saddiq Bey,13.8
Khem Birch,14.6
Goga Bitadze,16.1
Bismack Biyombo,13.2
Buddy Boeheim,0.5
Bogdan Bogdanović,14.8
Bojan Bogdanović,14.3
Bol Bol,13.9
Leandro Bolmaro,3.1
Devin Booker,18.4
Brandon Boston Jr.,11.8
Chris Boucher,19.5
James Bouknight,7.7
Jamaree Bouyea,6.5
Tony Bradley,19.3
Malaki Branham,9.5
Jarrell Brantley,13.9
Christian Braun,10.3
Mikal Bridges,14.4
Oshae Brissett,12.6
Malcolm Brogdon,17.0
Dillon Brooks,10.9
Bruce Brown,12.8
Greg Brown III,10.4
Jaylen Brown,16.4
Kendall Brown,9.1
Moses Brown,19.1
Sterling Brown,10.0
Troy Brown Jr.,11.0
Jalen Brunson,17.2
Thomas Bryant,20.0
Reggie Bullock,10.1
Alec Burks,14.2
Deonte Burton,5.2
Jared Butler,12.2
Jimmy Butler,21.6
John Butler,5.7
Jamal Cain,16.5
Kentavious Caldwell-Pope,11.9
Facundo Campazzo,11.3
Vlatko Čančar,11.0
Clint Capela,22.2
Vernon Carey Jr.,12.5
Jevon Carter,10.6
Wendell Carter Jr.,16.8
Michael Carter-Williams,13.5
Alex Caruso,11.3
Julian Champagnie,13.4
Justin Champagnie,13.2
Kennedy Chandler,10.6
Max Christie,7.4
Josh Christopher,11.9
Brandon Clarke,20.4
Jordan Clarkson,15.6
Nic Claxton,19.4
Amir Coffey,11.0
John Collins,19.1
Zach Collins,13.1
Chance Comanche,12.2
Mike Conley,17.4
Pat Connaughton,11.4
Xavier Cooks,14.3
Robert Covington,13.1
Torrey Craig,11.2
Jae Crowder,12.7
Jarrett Culver,9.3
Cade Cunningham,13.2
Seth Curry,13.7
Stephen Curry,23.8
Dyson Daniels,8.8
Anthony Davis,27.0
Johnny Davis,7.2
Terence Davis,13.4
JD Davison,10.1
Darius Days,18.3
Dewayne Dedmon,15.1
Matthew Dellavedova,9.7
DeMar DeRozan,19.0
Moussa Diabaté,14.2
Mamadi Diakite,10.9
Hamidou Diallo,13.6
Gorgui Dieng,16.2
Ousmane Dieng,9.3
Spencer Dinwiddie,15.5
Donte DiVincenzo,12.7
Luka Dončić,25.2
Tyler Dorsey,10.7
Luguentz Dort,10.8
Ayo Dosunmu,10.7
Devon Dotson,11.0
Jeff Dowtin,9.0
PJ Dozier,10.3
Goran Dragić,16.5
Andre Drummond,21.8
Chris Duarte,10.9
David Duke Jr.,9.4
Kris Dunn,12.4
Kevin Durant,25.3
Jalen Duren,17.3
Tari Eason,15.2
Anthony Edwards,16.0
Kessler Edwards,8.3
Keon Ellis,14.0
Joel Embiid,27.9
Drew Eubanks,17.1
Bruno Fernando,13.3
Dorian Finney-Smith,10.9
Malachi Flynn,10.4
Simone Fontecchio,8.0
Bryn Forbes,11.0
Trent Forrest,10.0
Michael Foster Jr.,0.0
Evan Fournier,13.6
De'Aaron Fox,18.3
Markelle Fultz,14.8
Wenyen Gabriel,12.8
Daniel Gafford,20.3
Darius Garland,15.7
Usman Garuba,12.9
Luka Garza,18.4
Rudy Gay,16.3
Paul George,19.4
Taj Gibson,15.3
Josh Giddey,15.5
Shai Gilgeous-Alexander,20.1
Anthony Gill,12.8
Jacob Gilyard,7.3
Rudy Gobert,21.8
Jordan Goodwin,14.6
Aaron Gordon,15.7
Eric Gordon,14.0
Devonte' Graham,13.5
Jerami Grant,14.0
RaiQuan Gray,15.5
A.J. Green,11.5
Danny Green,12.6
Draymond Green,14.6
Jalen Green,13.6
JaMychal Green,13.8
Javonte Green,13.7
Jeff Green,CRASH
Josh Green,11.1
AJ Griffin,12.6
Blake Griffin,21.0
Quentin Grimes,11.5
Rui Hachimura,13.0
Tyrese Haliburton,19.2
Jordan Hall,5.5
R.J. Hampton,9.9
Tim Hardaway Jr.,13.6
James Harden,24.4
Jaden Hardy,14.6
Ron Harper Jr.,15.7
Montrezl Harrell,22.3
Gary Harris,12.3
Joe Harris,12.3
Kevon Harris,9.2
Tobias Harris,16.7
Shaquille Harrison,13.3
Josh Hart,12.8
Isaiah Hartenstein,17.3
Udonis Haslem,12.9
Sam Hauser,12.9
Jaxson Hayes,17.7
Killian Hayes,9.1
Gordon Hayward,17.1
Juancho Hernangómez,11.1
Willy Hernangómez,20.2
Tyler Herro,14.6
Buddy Hield,14.7
Haywood Highsmith,8.2
George Hill,14.6
Malcolm Hill,12.8
Aaron Holiday,11.0
Jrue Holiday,17.5
Justin Holiday,10.5
Richaun Holmes,18.7
Al Horford,18.2
Talen Horton-Tucker,12.5
Danuel House Jr.,10.8
Caleb Houstan,6.2
Trevor Hudgins,4.2
Kevin Huerter,12.2
Jay Huff,18.6
De'Andre Hunter,10.8
Bones Hyland,14.6
Serge Ibaka,17.1
Andre Iguodala,15.4
Joe Ingles,12.6
Brandon Ingram,15.8
Kyrie Irving,22.4
Jonathan Isaac,13.9
Jaden Ivey,12.1
Frank Jackson,10.4
Isaiah Jackson,18.5
Jaren Jackson Jr.,17.9
Justin Jackson,10.0
Quenton Jackson,12.2
Reggie Jackson,14.9
LeBron James,27.2
Ty Jerome,11.9
Isaiah Joe,11.9
Alize Johnson,14.7
Cameron Johnson,14.2
Jalen Johnson,13.8
James Johnson,13.9
Keldon Johnson,15.0
Keon Johnson,8.8
Stanley Johnson,9.2
Nikola Jokić,27.7
Carlik Jones,7.4
Damian Jones,15.3
Derrick Jones Jr.,13.3
Herbert Jones,12.2
Kai Jones,10.6
Tre Jones,15.3
Tyus Jones,14.9
DeAndre Jordan,18.4
Cory Joseph,12.1
Nikola Jović,10.6
Johnny Juzang,6.5
Mfiondu Kabengele,10.9
Frank Kaminsky,14.2
Trevor Keels,3.7
Luke Kennard,12.8
Walker Kessler,21.5
Braxton Key,13.9
Louis King,13.0
Corey Kispert,11.2
Maxi Kleber,12.0
Nathan Knight,15.6
Kevin Knox,9.2
Christian Koloko,11.4
John Konchar,13.0
Furkan Korkmaz,11.3
Luke Kornet,14.7
Vit Krejci,8.3
Jonathan Kuminga,14.2
Kyle Kuzma,13.9
Anthony Lamb,10.3
Jock Landale,16.3
Romeo Langford,8.5
Jake LaRavia,6.7
Zach LaVine,17.4
A.J. Lawson,13.9
Damion Lee,11.6
Saben Lee,13.7
Alex Len,15.2
Kawhi Leonard,23.4
Meyers Leonard,12.0
Caris LeVert,14.5
Kira Lewis Jr.,10.8
Damian Lillard,22.5
Nassir Little,11.5
Isaiah Livers,9.0
Kenneth Lofton Jr.,20.2
Kevon Looney,15.5
Brook Lopez,19.2
Robin Lopez,15.9
Kevin Love,20.9
Kyle Lowry,17.8
Trey Lyles,13.7
Théo Maledon,9.6
Sandro Mamukelashvili,13.9
Terance Mann,13.3
Tre Mann,10.1
Boban Marjanović,25.4
Lauri Markkanen,16.8
Naji Marshall,11.6
Caleb Martin,12.1
Cody Martin,11.5
Kenyon Martin Jr.,14.9
Tyrese Martin,7.7
Garrison Mathews,10.5
Bennedict Mathurin,13.1
Wesley Matthews,12.3
Tyrese Maxey,16.2
Skylar Mays,15.9
Miles McBride,7.6
Mac McClung,14.0
CJ McCollum,17.4
T.J. McConnell,14.8
Jaden McDaniels,10.7
Jalen McDaniels,11.8
Doug McDermott,11.9
JaVale McGee,19.6
Bryce McGowens,7.2
Rodney McGruder,9.6
Jordan McLaughlin,13.2
De'Anthony Melton,13.4
Sam Merrill,11.8
Chimezie Metu,14.5
Khris Middleton,16.7
Patty Mills,13.5
Shake Milton,13.1
Justin Minaya,4.0
Josh Minott,17.9
Davion Mitchell,10.2
Donovan Mitchell,19.6
Evan Mobley,17.1
Isaiah Mobley,14.1
Chima Moneke,-3.5
Malik Monk,13.7
Moses Moody,10.4
Xavier Moon,15.1
Wendell Moore Jr.,9.3
Ja Morant,20.3
Marcus Morris,13.2
Markieff Morris,13.5
Monte Morris,15.1
Trey Murphy III,14.5
Dejounte Murray,17.4
Jamal Murray,16.4
Keegan Murray,12.3
Mike Muscala,14.0
Svi Mykhailiuk,10.4
Larry Nance Jr.,16.4
Andrew Nembhard,10.0
Aaron Nesmith,9.6
Raul Neto,12.0
Georges Niang,11.0
Daishen Nix,5.9
Zeke Nnaji,12.6
Nerlens Noel,16.5
Jaylen Nowell,14.2
Frank Ntilikina,7.7
Kendrick Nunn,13.0
Jusuf Nurkić,19.2
Jordan Nwora,11.6
Royce O'Neale,9.7
Chuma Okeke,11.5
Josh Okogie,10.6
Onyeka Okongwu,19.1
Isaac Okoro,9.5
KZ Okpala,7.0
Victor Oladipo,16.0
Kelly Olynyk,15.6
Eugene Omoruyi,11.1
Cedi Osman,11.5
Kelly Oubre Jr.,13.2
Chris Paul,24.3
Cameron Payne,13.4
Gary Payton II,15.0
Theo Pinson,7.7
Scotty Pippen Jr.,9.6
Mason Plumlee,17.8
Jakob Poeltl,18.9
Aleksej Pokusevski,10.2
Jordan Poole,13.8
Kevin Porter Jr.,13.8
Michael Porter Jr.,18.3
Otto Porter Jr.,15.6
Bobby Portis,17.1
Kristaps Porziņģis,20.4
Micah Potter,16.8
Dwight Powell,17.6
Norman Powell,14.9
Jason Preston,10.3
Joshua Primo,7.1
Taurean Prince,11.3
Payton Pritchard,12.8
Trevelin Queen,12.3
Neemias Queta,13.6
Immanuel Quickley,15.6
Lester Quinones,8.6
Julius Randle,18.1
Austin Reaves,13.5
Cam Reddish,10.3
Davon Reed,9.1
Paul Reed,20.0
Naz Reid,17.7
Jared Rhoden,6.5
Nick Richards,17.3
Josh Richardson,12.5
Austin Rivers,9.7
